Investigación,Administración,Comercialización,Municipio,Ganancia
213719.96,176733.14,612085.33,Malvinas,248706.379
210143.01,195556.867,575834.089,Pilar,248095.678
198239.963,130255.215,529080.902,San Miguel,247131.507
186450.133,153039.405,496925.506,Malvinas,236538.587
183505.542,117575.301,474784.946,San Miguel,214810.322
170205.97,128525.123,470485.768,Malvinas,202854.456
173766.098,190124.531,164797.866,Pilar,201725.263
168153.569,187955.078,419805.684,San Miguel,201244.38
155471.276,192100.635,403863.277,Malvinas,196641.301
159101.344,140048.921,395242.106,Pilar,193453.948
131253.004,142538.343,296675.235,San Miguel,188724.535
129639.548,118093.793,323433.915,Pilar,186303.22
120788.875,164282.494,323557.272,San Miguel,182827.176
118356.107,174909.591,327230.409,Pilar,173365.555
154692.212,202277.646,332232.796,San Miguel,171149.445
147646.693,158167.892,339075.099,Malvinas,167658.152
100183.043,156842.815,342415.878,Pilar,163856.809
121820.308,187366.854,366112.603,Malvinas,161747.481
118039.908,147194.527,382161.441,San Miguel,160312.97
111111.61,198334.343,0,Malvinas,158375.918
97896.018,146793.49,387029.811,Pilar,152782.239
100672.311,198671.459,388424.477,Malvinas,143472.926
94958.928,158383.575,393081.038,San Miguel,142223.925
86558.289,136242.339,394965.349,San Miguel,140120.187
98923.213,127831.742,181513.253,Malvinas,139883.652
82830.123,180185.108,178117.406,Pilar,138391.642
96693.531,186142.774,173031.091,San Miguel,136219.602
92505.88,164989.915,457904.953,Malvinas,135276.803
84632.976,236205.228,152358.66,San Miguel,133033.094
84053.124,197707.678,138045.894,Malvinas,130072.032
79358.824,149099.664,117236.612,San Miguel,128684.867
78243.294,197278.496,113449.699,Malvinas,125494.628
81197.518,166751.493,58676.825,Pilar,125422.192
70908.135,132740.737,277791.253,San Miguel,124578.596
59119.891,203768.096,272802.971,Pilar,124492.64
58584.226,109327.672,265938.932,Malvinas,124189.363
36028.888,163939.073,260230.866,San Miguel,116686.647
56056.935,65434.082,254904.246,Pilar,115699.882
25064.467,84498.309,239610.63,Malvinas,104363.778
48892.063,106642.717,226265.09,Pilar,104073.488
36146.629,152875.865,223400.371,Pilar,100477.883
35026.796,108890.001,212577.923,San Miguel,99904.479
29499.209,123812.519,191167.443,Pilar,91714.037
18923.449,164362.99,44960.421,Malvinas,89452.674
27597.062,200013.982,35601.136,Pilar,83526.429
66.299,160164.952,1241.109,Malvinas,83169.904
476.098,149327.073,385014.798,San Miguel,63103.975
0,174820.996,0,Pilar,54093.649
0,66032.095,0,Malvinas,45141.433
0,150844.94,57490.978,Pilar,17851.82